"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","originaltext"
"1"," the best part about stranger things is that all the bad guys are like no ones gonna notice us in this dumb small town in",FALSE,0,NA,2019-07-08 02:59:10,FALSE,NA,"1148063952057917440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_ryleewilliams",1,TRUE,FALSE,NA,NA,"RT @everelle17: The best part about Stranger Things is that all the bad guys are like “no one’s gonna notice us in this dumb small town in…"
"2"," stranger things 3 spoiler without context ",FALSE,0,NA,2019-07-08 02:59:10,FALSE,NA,"1148063950581448709",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YAMIIMINAJ",2394,TRUE,FALSE,NA,NA,"RT @lilactozier: stranger things 3 spoiler without context https://t.co/EmDwVFXrVT"
"3"," winona ryder in stranger things s3 2019 ",FALSE,0,NA,2019-07-08 02:59:10,FALSE,NA,"1148063950317051905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chembayy",4355,TRUE,FALSE,NA,NA,"RT @katiexdelrey: winona ryder in stranger things s3 (2019) https://t.co/jElmzqseh6"
"4","stranger things circa 2019 ",FALSE,0,NA,2019-07-08 02:59:10,FALSE,NA,"1148063949562273792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jorge_jaramillo",0,FALSE,FALSE,NA,NA,"Stranger Things. Circa 2019 https://t.co/RhL6qy9e81"
"5"," my twitter feed rn be likehot girl summer earthquakestranger thingsprincess ariel earthquakeearthquakemus",FALSE,0,NA,2019-07-08 02:59:10,FALSE,NA,"1148063949524312065",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","daleofthefuture",14298,TRUE,FALSE,NA,NA,"RT @imlowkeycool: My twitter feed rn be like:

-hot girl summer 
-earthquake
-Stranger Things
-princess Ariel 
-earthquake
-earthquake
-mus…"
"6"," stranger things 3 spoiler without context ",FALSE,0,NA,2019-07-08 02:59:09,FALSE,NA,"1148063948358467586",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Santy_RP_",2394,TRUE,FALSE,NA,NA,"RT @lilactozier: stranger things 3 spoiler without context https://t.co/EmDwVFXrVT"
"7","imagine how much cooler stranger things would be if reagan and george bush was the bad guy",FALSE,0,NA,2019-07-08 02:59:09,FALSE,NA,"1148063947909582848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RealityInc",0,FALSE,FALSE,NA,NA,"Imagine how much cooler stranger things would be if Reagan and George Bush was the bad guy"
"8","stranger things 3 was intense i literally looooove",FALSE,0,NA,2019-07-08 02:59:09,FALSE,NA,"1148063947351662592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_aguilarkarla",0,FALSE,FALSE,NA,NA,"Stranger things 3 was intense, I literally looooove"
"9","noticed a minor slipup on   red mampms were discontinued from 1976 to 1987",FALSE,0,NA,2019-07-08 02:59:09,FALSE,NA,"1148063944650690562",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pgerak",0,FALSE,FALSE,NA,NA,"Noticed a minor slip-up on @Stranger_Things - red M&amp;Ms were discontinued from 1976 to 1987."
"10","alexei didnt deserve how dirty the stranger things writing team did him what a wholesome boy",FALSE,0,NA,2019-07-08 02:59:07,FALSE,NA,"1148063937809846273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emilee_lyn_",0,FALSE,FALSE,NA,NA,"ALEXEI DIDNT DESERVE HOW DIRTY THE STRANGER THINGS WRITING TEAM DID HIM. What a wholesome boy"
